sID	group	Chol_1	Chol_2
1	Heu mit echtem Sternenstaub	887.904870689557	1357.21371224438
2	Heu mit echtem Sternenstaub	953.964502103344	1306.34926092956
3	Heu mit echtem Sternenstaub	1311.74166282982	1597.48590433515
4	Heu mit echtem Sternenstaub	1014.10167828492	1324.56326854135
5	Heu mit echtem Sternenstaub	1025.85754703219	1253.98510145526
6	Heu mit echtem Sternenstaub	1343.01299737666	1788.83997431769
7	Heu mit echtem Sternenstaub	1092.18324119784	1433.48865034578
8	Heu mit echtem Sternenstaub	746.987753078693	861.596143667398
9	Heu mit echtem Sternenstaub	862.629429621295	1274.26625188468
10	Heu mit echtem Sternenstaub	910.867605980008	1171.95911585665
11	Heu mit Fake-Sternenstaub	731.295718413355	675.139312467812
12	Heu mit Fake-Sternenstaub	1124.35511073066	1256.81578239262
13	Heu mit Fake-Sternenstaub	1160.17493297653	1246.78710411712
14	Heu mit Fake-Sternenstaub	722.221517575483	976.248656360671
15	Heu mit Fake-Sternenstaub	857.128628223741	712.8062745777
16	Heu mit Fake-Sternenstaub	935.187789492782	1181.83300369869
17	Heu mit Fake-Sternenstaub	1138.12859911899	1318.93522051992
18	Heu mit Fake-Sternenstaub	1050.10958026493	1086.5856632813
19	Heu mit Fake-Sternenstaub	1201.47045417597	1434.78043999121
20	Heu mit Fake-Sternenstaub	1114.64693688055	1276.26354694708
